#type,indicator,description,date,malware_type,malware_name,port
url,*.7-zip.org,7zip updates,,,,
url,*.acer.com,Acer software updates,,,,
url,*.adobe.com,Adobe,,,,
url,*.ahnlab.com,Ahnlabs updates,,,,
url,*.apache.org,Apache Software Foundation,,,,
url,*.apple.com,Apple software,,,,
url,*.asus.com,replaced period with comma ASUS updates,,,,
url,*.ati.com,added a comma bmw,,,,
url,*.avira.com,Avira updates updates,,,,
url,*.bethesda.net,Bethesda Software downloads,,,,
url,*.bitdefender.com,Bitdefender software,,,,
url,*.bitdefender.net,Bitdefender software,,,,
url,*.blackberry.com,Blackberry,,,,
url,*.clamav.net,ClamAV updates,,,,
url,*.comodo.com,Comodo updates,,,,
url,*.debian.org,Debian downloads,,,,
url,*.dell.com,Dell downloads,,,,
url,*.dellsupportcenter.com,Dell support updates,,,,
url,*.download.lenovo.com,Lenovo downloads,,,,
url,*.ebay.com,Ebay ,,,,
url,*.google.com,Google software,,,,
url,*.gvt1.com,Google software,,,,
url,*.hp.com,HP FTP downloads,,,,
url,*.intel.com,Intel downloads,,,,
url,*.kaspersky.com,Kaspersky AntiVirus downloads,,,,
url,*.lenovo.com,lenovo downloads,,,,
url,*.lexmark.com,Lexmark software updates,,,,
url,*.macromedia.com,macromedia downloads,,,,
url,*.mbamupdates.com,MalwareBytes AntiMalware downloads,,,,
url,*.mcafee.com,McAfee downloads,,,,
url,*.microsoft.com,Microsoft,,,,
url,*.mozilla.net,Firefox downloads,,,,
url,*.mozilla.org,Mozilla Firefox FTP downloads,,,,
url,*.nai.com,Intel Security downloads,,,,
url,*.netflix.com,Netflix downloads,,,,
url,*.ni.com,National Instruments downloads,,,,
url,*.nvidia.com,NVIDIA software updates,,,,
url,*.opera.com,Opera browser software,,,,
url,*.oracle.com,Oracle downloads,,,,
url,*.passport.net,Microsoft Passport services,,,,
url,*.rapid7.com,Rapid7 updates,,,,
url,*.rarlab.com,Rarlab downloads,,,,
url,*.ricoh.com,Ricoh support drivers,,,,
url,*.riverbed.com,Riverbed Technology downloads,,,,
url,*.samsung.com,Samsung downloads,,,,
url,*.samsungmobile.com,Samsung software updates,,,,
url,*.skype.com,Skype downloads,,,,
url,*.sonymobile.com,Sony mobile downloads,,,,
url,*.sophosupd.com,Sophos AV updates,,,,
url,*.spotify.com,Spotify downloads,,,,
url,*.sun.com,Sun downloads,,,,
url,*.symantec.com,Virus Signature updates,,,,
url,*.symantecliveupdate.com,Virus Engine updates,,,,
url,*.ti.com,Texas Instruments downloads,,,,
url,*.toshiba.com,Toshiba software updates,,,,
url,*.trendmicro.com,Trendmicro updates,,,,
url,*.tripwire.com,Tripwire downloads,,,,
url,*.ubuntu.com,Ubuntu downloads,,,,
url,*.untangle.com,Untangle downloads,,,,
url,*.utc.com,United Technologies software,,,,
url,*.weather.gov,Weather ,,,,
url,*.webex.com,WebEx Meeting software updates,,,,
url,*.whatsapp.com,WhatsApp software,,,,
url,*.win-rar.com,WinRAR updates,,,,
url,*.windowsupdate.com,Microsoft Windows updates,,,,
url,*.wolfram.com,Wolfram downloads,,,,
url,*.dellbackupandrecovery.com,Dell Backup and Recovery,,,,
url,*.xerox.com,Xerox appliance software updates,,,,
